ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
21,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions,LithostratigraphicAttributions,EarthScienceSpecimen/UnitStratigraphicDetermination,2,EarthScienceSpecimen,StratigraphicAttributionsType,local,efg:LithostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,"Allows for multiple identifications of any named lithostratigraphic units (e.g. Penarth Group, Langport Member, Rhaetic Bone Bed)"
22,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,LithostratigraphicAttribution,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions,3,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,An individual identification of a named lithostratigraphic unit e.g. The Hotwells Limestone Group. The higher lithostratigraphic terms are also allowed to cover the possibility of rock name homonyms and indexing in the absence of a complete dictionary of rock names.
23,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Supergroup,Supergroup,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Highest level of lithostratigraphic classification
24,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Group,Group,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Lithostratigraphic unit consisting of two or more formations
25,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Formation,Formation,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The primary lithostratigraphic unit characterised by its lithologic features although it may be diachronous.
26,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Member,Member,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,A sub-division of a formation which may be local in extent or exhibits a distinctive lithology
27,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Bed,Bed,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The smallest division of a named stratified series normally with well defined division from adjacent deposits.
28,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/InformalLithostratigraphicName,InformalLithostratigraphicName,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,An informal lithostratigraphic name (ie. one not yet characterised as a formation or member or an old name still in general use e.g. Schaumkalk as part of the Muschelkalk or Keuper Marl as a synonym of the Mercia Mudstone Group. includes language as an attribute.
29,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Certainty,Certainty,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
30,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/DatingQualifier,DatingQualifier,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
31,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,Identifiers,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution,4,EarthScienceSpecimen,LithostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
32,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers/Person,Person,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
33,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers/Organisation,Organisation,EarthScienceSpecimen/UnitStratigraphicDetermination/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,5,EarthScienceSpecimen,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
