ID,Path,Element,Parent Path,Level,Root Element,Declared In,Declaration,Data Type,Type Source,Content,Min Occurs,Max Occurs,Required,Repeatable,Enumeration Count,Enumerated Values,Definition
350,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Certainty,Certainty,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination,4,UnitHostRock,IsotopeStratigraphicDeterminationsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
351,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/DatingQualifier,DatingQualifier,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination,4,UnitHostRock,IsotopeStratigraphicDeterminationsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
352,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Identifiers,Identifiers,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination,4,UnitHostRock,IsotopeStratigraphicDeterminationsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
353,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Identifiers/Person,Person,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Identifiers,5,UnitHostRock,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
354,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Identifiers/Organisation,Organisation,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/Identifiers,5,UnitHostRock,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
355,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/AnalysisReferences,AnalysisReferences,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination,4,UnitHostRock,IsotopeStratigraphicDeterminationsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,Container for 1 or more references related to the analysis
356,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/AnalysisReferences/AnalysisReference,AnalysisReference,UnitHostRock/HostRockStratigraphy/IsotopeStratigraphicDeterminations/IsotopeStratigraphicDetermination/AnalysisReferences,5,UnitHostRock,IsotopeStratigraphicDeterminationsType,local,abcd:Reference,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Individual documentary reference linked to an analysis. Uses abcd:Reference Type
357,UnitHostRock/HostRockStratigraphy/RadiometricDates,RadiometricDates,UnitHostRock/HostRockStratigraphy,2,UnitHostRock,StratigraphicAttributionsType,local,efg:RadiometricDatesType,EFG named complexType,complex,0,1,N,N,0,,Container for absolute dates obtained from radiometric analysis.
358,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,RadiometricDate,UnitHostRock/HostRockStratigraphy/RadiometricDates,3,UnitHostRock,RadiometricDatesType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,Container for a single radiometric date analysis
359,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/RadiometricDatingMethod,RadiometricDatingMethod,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"Method, analysis technique used to determine date e.g. radiocarbon, Potassium-Argon etc."
360,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/MaterialDated,MaterialDated,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"What was actually dated? e.g. Glauconite grains in a sandstone, wood from peat-core etc."
361,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/EarliestDate,EarliestDate,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,The earliest date in a date range suggested by the analysis or the single date if only one is given
362,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/LatestDate,LatestDate,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The latest date where a range of values is given
363,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/TimeUnit,TimeUnit,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,The time units being measured or how the numbers are expressed e.g. millions of years B.P. or thousands of years B.C.
364,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/DatingAccuracy,DatingAccuracy,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The degree of certainty or likely accuracy of the dating analysis e.g. +/- 1 m.y.
365,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/DatingComment,DatingComment,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text description of the anlysis or its result.
366,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisDateTime,AnalysisDateTime,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,When the analysis was carried out
367,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisDateTime/ExactDate,ExactDate,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisDateTime,5,UnitHostRock,RadiometricDatesType,local,abcd:DateTime,ABCD 2.06 (external),complex (ABCD),0,1,N,N,0,,Uses DateTime element from ABCD
368,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisDateTime/DateText,DateText,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisDateTime,5,UnitHostRock,RadiometricDatesType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text to allow for vague dates or description of analysis period.
369,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/Identifiers,Identifiers,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
370,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/Identifiers/Person,Person,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/Identifiers,5,UnitHostRock,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
371,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/Identifiers/Organisation,Organisation,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/Identifiers,5,UnitHostRock,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
372,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisReferences,AnalysisReferences,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate,4,UnitHostRock,RadiometricDatesType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,Container for 1 or more references related to the analysis
373,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisReferences/AnalysisReference,AnalysisReference,UnitHostRock/HostRockStratigraphy/RadiometricDates/RadiometricDate/AnalysisReferences,5,UnitHostRock,RadiometricDatesType,local,abcd:Reference,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Individual documentary reference linked to an analysis. Uses abcd:Reference Type
374,UnitHostRock/HostRockStratigraphy/PositionInSequence,PositionInSequence,UnitHostRock/HostRockStratigraphy,2,UnitHostRock,StratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The position this stratigraphic 'unit' has in the sequence for the site. e.g. a bed number
375,Alteration,Alteration,,0,Alteration,(schema),global,efg:AlterationType,EFG named complexType,complex,1,1,Y,N,0,,
376,Alteration/AlterationType,AlterationType,Alteration,1,Alteration,AlterationType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"Free text describing the type of change that has taken place e.g. chloritisation, migmatisation, cataclastic brecciation etc."
377,Alteration/AlterationDegree,AlterationDegree,Alteration,1,Alteration,AlterationType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Free text describing the degree of alteration or metamorphic phase that has affected a rock. [This element may need to be split into hydrothermal mineralogical change and metamorphic phases]
378,Alteration/ShockMetamorphicGrade,ShockMetamorphicGrade,Alteration,1,Alteration,AlterationType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text for describing the type of alteration caused by impact, as in meteorites. Also called shock stage."
379,Alteration/DiageneticChange,DiageneticChange,Alteration,1,Alteration,AlterationType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Free text for describing any physical and chemical changes that took place in a sediment during the lithification process e.g. compaction, cementation, recrystallisation, dolomitisation and replacement."
380,SiteStratigraphy,SiteStratigraphy,,0,SiteStratigraphy,(schema),global,efg:SiteStratigraphyType,EFG named complexType,complex,1,1,Y,N,0,,
381,SiteStratigraphy/SiteStratigraphicAttributions,SiteStratigraphicAttributions,SiteStratigraphy,1,SiteStratigraphy,SiteStratigraphyType,local,efg:StratigraphicAttributionsType,EFG named complexType,complex,1,1,Y,N,0,,Individual stratigraphic determinations related to the Gathering site - not measured sections.
382,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions,ChronostratigraphicAttributions,SiteStratigraphy/SiteStratigraphicAttributions,2,SiteStratigraphy,StratigraphicAttributionsType,local,efg:ChronostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,Allows for multiple and range declarations of chronostratigraphic terms. This element combines both chronostratigraphic and geochronologic terms with preference for chronostratigraphic. (Zalasiewicz et al. 2004)
383,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,ChronostratigraphicAttribution,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions,3,SiteStratigraphy,ChronostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,A single declaration of an identifed chronostratigraphic date
384,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronoStratigraphicDivision,ChronoStratigraphicDivision,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"Classification level for the term e.g. eon, system, stage etc."
385,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/ChronostratigraphicName,ChronostratigraphicName,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"The formal geo/chrono chronologic name e.g. Jurassic, Kimmeridgian etc."
386,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/DatingQualifier,DatingQualifier,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
387,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Certainty,Certainty,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
388,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/RangePosition,RangePosition,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,local,xs:string (restricted),EFG inline simpleType,simple,0,1,N,N,0,,"text field to mark if this date is the earlest in a possible range, midway or the latest. May need to be used if there is a possibility of a range of dates."
389,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,Identifiers,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
390,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Person,Person,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
391,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers/Organisation,Organisation,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
392,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution,4,SiteStratigraphy,ChronostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
393,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,SiteStratigraphy/SiteStratigraphicAttributions/ChronostratigraphicAttributions/ChronostratigraphicAttribution/StratigraphicMeasurementsOrFacts,5,SiteStratigraphy,ChronostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
394,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions,LithostratigraphicAttributions,SiteStratigraphy/SiteStratigraphicAttributions,2,SiteStratigraphy,StratigraphicAttributionsType,local,efg:LithostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,"Allows for multiple identifications of any named lithostratigraphic units (e.g. Penarth Group, Langport Member, Rhaetic Bone Bed)"
395,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,LithostratigraphicAttribution,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions,3,SiteStratigraphy,LithostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,An individual identification of a named lithostratigraphic unit e.g. The Hotwells Limestone Group. The higher lithostratigraphic terms are also allowed to cover the possibility of rock name homonyms and indexing in the absence of a complete dictionary of rock names.
396,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Supergroup,Supergroup,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Highest level of lithostratigraphic classification
397,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Group,Group,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,Lithostratigraphic unit consisting of two or more formations
398,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Formation,Formation,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The primary lithostratigraphic unit characterised by its lithologic features although it may be diachronous.
399,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Member,Member,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,A sub-division of a formation which may be local in extent or exhibits a distinctive lithology
400,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Bed,Bed,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,The smallest division of a named stratified series normally with well defined division from adjacent deposits.
401,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/InformalLithostratigraphicName,InformalLithostratigraphicName,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,An informal lithostratigraphic name (ie. one not yet characterised as a formation or member or an old name still in general use e.g. Schaumkalk as part of the Muschelkalk or Keuper Marl as a synonym of the Mercia Mudstone Group. includes language as an attribute.
402,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Certainty,Certainty,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
403,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/DatingQualifier,DatingQualifier,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
404,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,Identifiers,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,1,N,N,0,,
405,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers/Person,Person,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
406,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers/Organisation,Organisation,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
407,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution,4,SiteStratigraphy,LithostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
408,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts/StratigraphicMeasurementOrFact,StratigraphicMeasurementOrFact,SiteStratigraphy/SiteStratigraphicAttributions/LithostratigraphicAttributions/LithostratigraphicAttribution/StratigraphicMeasurementsOrFacts,5,SiteStratigraphy,LithostratigraphicAttributionsType,local,abcd:MeasurementOrFact,ABCD 2.06 (external),complex (ABCD),1,unbounded,Y,Y,0,,Container for single instance of complex type MeasurementOrFact
409,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions,BiostratigraphicAttributions,SiteStratigraphy/SiteStratigraphicAttributions,2,SiteStratigraphy,StratigraphicAttributionsType,local,efg:BiostratigraphicAttributionsType,EFG named complexType,complex,0,1,N,N,0,,Container for optional multiple references to fossil zones e.g. where a range of zones and subzones might be represented.
410,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,BiostratigraphicAttribution,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions,3,SiteStratigraphy,BiostratigraphicAttributionsType,local,(anonymous complexType),EFG inline,complex,1,unbounded,Y,Y,0,,A single declaration of a fossil zone or subzone.
411,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/ZonalFossilType,ZonalFossilType,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,"What sort of biozone is being recorded? e.g. what animal or plant group is it based on? (ammonite, brachiopod,coral, plant, foram, nanoplankton etc.)"
412,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/FossilZoneName,FossilZoneName,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,1,1,Y,N,0,,The actual name of the biozone. Ideally this should be in its expanded form although common usage tends to abbreviate the generic epithet.
413,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/FossilSubzoneName,FossilSubzoneName,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"The subzone name, if any, this should ideally be in expanded form rather than abbreviated."
414,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Certainty,Certainty,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Degree of certainty associated with the date determination e.g. unknown, certain, uncertain, possibly, known wrong."
415,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/RangePosition,RangePosition,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,local,xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Range position if this attribution is the earliest, midway or latest in a possible range. e.g. It is not always clear what zone a particular taxon belongs to and therefore a range may be needed."
416,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/DatingQualifier,DatingQualifier,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,global (ref),xs:string,XML Schema built-in,simple,0,1,N,N,0,,"Allows for qualification of date terms e.g. early/lower, middle, late/upper"
417,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,Identifiers,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,local,efg:IdentifiersType,EFG named complexType,complex,0,unbounded,N,Y,0,,
418,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers/Person,Person,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:PersonName,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Person type from the abcd schema
419,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers/Organisation,Organisation,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/Identifiers,5,SiteStratigraphy,IdentifiersType,local,abcd:Organisation,ABCD 2.06 (external),complex (ABCD),0,unbounded,N,Y,0,,Organisation type from the abcd schema
420,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution/StratigraphicMeasurementsOrFacts,StratigraphicMeasurementsOrFacts,SiteStratigraphy/SiteStratigraphicAttributions/BiostratigraphicAttributions/BiostratigraphicAttribution,4,SiteStratigraphy,BiostratigraphicAttributionsType,global (ref),(anonymous complexType),EFG inline,complex,0,1,N,N,0,,"Container element for multiple measurements (e.g. thickness, dip etc.) or facts (e.g. this bed was first identified by Charles Moore as the Reptile and Fish Bed from which he obtained Nothosaurus). This element contains the standard schema complex type MeasurementOrFact."
