table,name,key,title,description,comments,example,type,format,unique,required,minimum,maximum,namespace,dcterms:isVersionOf,dcterms:references,rdfs:comment,status,new,ignore
material,identificationReferences,,Identification References,A list (concatenated and separated) of dcterms:BibliographicResources used in the dwc:Identification.,"When used in the context of a dwc:Survey, the subject consists of all of the dwc:Identifications related to the dwc:Survey. Recommended best practice is to separate the values in a list with space vertical bar space (` | `).","`Aves del Noroeste Patagonico. Christie et al. 2004.`; `Stebbins, R. Field Guide to Western Reptiles and Amphibians. 3rd Edition. 2003. | Irschick, D.J. and Shaffer, H.B. (1997). The polytypic species revisited: Morphological differentiation among tiger salamanders (Ambystoma tigrinum) (Amphibia: Caudata). Herpetologica, 53(1), 30-49.`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationReferences,http://rs.tdwg.org/dwc/terms/version/identificationReferences-2025-06-12,"A list (concatenated and separated) of references (publication, global unique identifier, URI) used in the dwc:Identification.",recommended,FALSE,TRUE
material,identificationVerificationStatus,,Identification Verification Status,A categorical indicator of the extent to which a dwc:Identification has been verified to be correct.,Recommended best practice is to use a controlled vocabulary such as that used in HISPID and ABCD.,`0` (unverified in HISPID/ABCD).,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationVerificationStatus,http://rs.tdwg.org/dwc/iri/version/identificationVerificationStatus-2015-03-27,A categorical indicator of the extent to which the taxonomic identification has been verified to be correct.,recommended,FALSE,TRUE
material,identificationRemarks,,Identification Remarks,Comments or notes about a dwc:Identification.,,`Distinguished between Anthus correndera and Anthus hellmayri based on the comparative lengths of the uñas.`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/identificationRemarks,http://rs.tdwg.org/dwc/terms/version/identificationRemarks-2023-06-28,Comments or notes about the dwc:Identification.,recommended,FALSE,TRUE
material,taxonID,,Taxon ID,An identifier for a dwc:Taxon.,"In DwC-DP, the dwc:taxonID is always an external link to a taxon record. As such, if present, it should be a resolvable globally unique identifier. See the Identifiers section of https://github.com/CatalogueOfLife/coldp/blob/master/README.md.",`8fa58e08-08de-4ac1-b69c-1235340b7001`; `32567`; `https://www.gbif.org/species/212`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/taxonID,http://rs.tdwg.org/dwc/terms/version/taxonID-2023-06-28,An identifier for the set of dwc:Taxon information. May be a global unique identifier or an identifier specific to the data set.,recommended,FALSE,TRUE
material,scientificNameID,,Scientific Name ID,An identifier for the nomenclatural (not taxonomic) details of a dwc:scientificName.,"In DwC-DP, the dwc:scientificNameID is always an external link to a taxon record. As such, if present, it should be a resolvable globally unique identifier. See the Identifiers section of https://github.com/CatalogueOfLife/coldp/blob/master/README.md.",`urn:lsid:ipni.org:names:37829-1:1.3`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificNameID,http://rs.tdwg.org/dwc/terms/version/scientificNameID-2017-10-06,An identifier for the nomenclatural (not taxonomic) details of a scientific name.,recommended,FALSE,TRUE
material,geoClassificationCode,,Geo Classification Code,An identifier for a minext:classificationCode.,Classification codes are specific to a classification system and conform to a xkos:notationPattern.,`71.02.02a.01`; `9.AD.25`,string,default,,,,,minext,http://rs.tdwg.org/mineralogy/terms/classificationCode,,Alphanumeric pattern that adheres to a defined encoding scheme that identifies a particular term in a classification scheme.,recommended,FALSE,TRUE
material,geoName,,Geo Name,"A human-readable lexical label assigned to a mineral includes both informal (e.g., variety, synonym) and formal (classification) forms.",,`Garnet Group`; `Almandine`; `Plagioclase (Series)`; `Fluorite`,string,default,,,,,minext,http://rs.tdwg.org/mineralogy/terms/name,,"A human-readable lexical label assigned to a mineral includes both informal (e.g., variety, synonym) and formal (classification) forms.",recommended,FALSE,TRUE
material,scientificName,,Scientific Name,"A scientific name string, not including authorship, date or identification qualifiers.",,`Coleoptera` (order); `Vespertilionidae` (family); `Manis` (genus); `Ctenomys sociabilis` (genus + specificEpithet); `Ambystoma tigrinum diaboli` (genus + specificEpithet + infraspecificEpithet); `Quercus agrifolia var. oxyadenia` (genus + specificEpithet + taxonRank + infraspecificEpithet); `×Agropogon littoralis`; `Mentha ×smithiana`; `Agrostis stolonifera L. × Polypogon monspeliensis`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificName,http://rs.tdwg.org/dwc/terms/version/scientificName-2023-06-28,"The full scientific name, with authorship and date information if known. When forming part of a dwc:Identification, this should be the name in lowest level taxonomic rank that can be determined. This term should not contain identification qualifications, which should instead be supplied in the dwc:identificationQualifier term.",recommended,FALSE,TRUE
material,scientificNameAuthorship,,Scientific Name Authorship,The authorship information for a dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.,,"`(Torr.) J.T. Howell`; `(Martinovský) Tzvelev`; `(Györfi, 1952)`",string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/scientificNameAuthorship,http://rs.tdwg.org/dwc/terms/version/scientificNameAuthorship-2023-06-28,The authorship information for the dwc:scientificName formatted according to the conventions of the applicable dwc:nomenclaturalCode.,recommended,FALSE,TRUE
material,vernacularName,,Vernacular Name,A common or vernacular name.,,`Andean Condor`; `death cap`; `rainbow trout`; `Smoky Quartz`; `Amethyst`; `Agate`; `Tiger's Eye`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/vernacularName,http://rs.tdwg.org/dwc/terms/version/vernacularName-2023-06-28,A common or vernacular name.,recommended,FALSE,TRUE
material,taxonRank,,Taxon Rank,A taxonomic rank of the most specific name in a dwc:scientificName.,"Recommended best practice is to use a controlled vocabulary. The taxon ranks of algae, fungi and plants are defined in the International Code of Nomenclature for algae, fungi, and plants (Schenzhen Code Articles H3.2, H4.4 and H.3.1).",`subspecies`; `varietas`; `forma`; `species`; `genus`; `nothogenus`; `nothospecies`; `nothosubspecies`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/taxonRank,http://rs.tdwg.org/dwc/terms/version/taxonRank-2023-06-28,The taxonomic rank of the most specific name in the dwc:scientificName.,recommended,FALSE,TRUE
material,externalClassificationSource,,External Classification Source,"A reference to a source outside the dataset where the identifying name, code, or taxon concept can be found.","The external source applies to whichever of dwc:taxonID, dwc:scientificNameID, minext:geoClassificationCode, minext:geoName, dwc:scientificName, or dwc:vernacularName is populated.","`http://www.catalogueoflife.org/data/taxon/`; `https://avibase.bsc-eoc.org/`; `Dana, J. D., Dana, E. S., & Gaines, R. V. (1997). Dana's new mineralogy: The system of mineralogy of James Dwight Dana and Edward Salisbury Dana.`; `Strunz H, Nickel EH (2001) Strunz Mineralogical Tables, 9th Edition. Berlin and Stuttgart 870 pp.`",string,default,,,,,dc,http://purl.org/dc/elements/1.1/source,,A related resource from which the described resource is derived.,recommended,FALSE,TRUE
material,feedbackURL,,Feedback URL,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,Recommended best practice is to optionally include query strings that act to pre-populate web page form elements and communicate the context.,`https://example.com/new?title=New+issue&body=This+comment+is+about+CAN12345`,string,default,,,,,dwc,http://rs.tdwg.org/dwc/terms/feedbackURL,http://rs.tdwg.org/dwc/terms/version/feedbackURL-2025-06-12,A uniform resource locator (URL) that points to a webpage on which a form may be submitted to gather feedback about the record.,recommended,FALSE,TRUE
