term,fieldtype,datatype,label,class_name,material_scope,definition,examples,usage,source,rdf_type,datatype,required,notes,editorial_notes,namespace,namespace_iri
aggregateForm,Aggregate Form,dwc:MaterialAssertion,Specimen,Observable crystal shapes of an assemblage of minerals,radial | botryoidal | oolithic,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
crystalHabit,Crystal Habit,dwc:MaterialAssertion,Constituent Part,A general term for describing the outward appearance of a mineral,isometric | tabular | fibrous | dogtooth | nailhead ,"Recommended best practice is to use a controlled vocabulary. For a given type of crystal, the habit may vary from locality to locality depending on environment of growth.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
crystalForm,Crystal Form,dwc:MaterialAssertion,Constituent Part,Geometric shape of a crystal,cube | ditrigonal pyramid | scalenohedron,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Alternate definition: A crystal form is a set of crystal faces that are related to each other by symmetry.,,geoext,http://rs.tdwg.org/geoext/terms/,,
twinningLaw,Twinning Law,dwc:MaterialAssertion,Constituent Part,Short description of any physically discernable twinning,Dauphin̩ twinning/Dauphin̩ Law | Japan twinning/Japan Law | Brazil twinning/Brazil Law,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
color,Color,dwc:MaterialAssertion,Constituent Part,The intrinsic color of a mineral under natural light,Blue | green | red | iridescent,"Here, color is caused by the absorption, or lack of absorption of different wavelengths of natural light by a particular mineral",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,Color under natural light conditions,,geoext,http://rs.tdwg.org/geoext/terms/,,
exsolutionTexture,Exsolution Texture,dwc:MaterialAssertion,Constituent Part,A brief description of textures formed by exsolution,Ilmenite lamellae in olivine | Clinopyroxene lamellae along the (100) plane of orthopyroxene | Antiperthite exsolution.,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
cleavage,Cleavage,dwc:MaterialAssertion,Constituent Part,"Type of breakages along a plane of weakness, especially those parallel to crystal faces",Extraordinary well developed rectangular cleavage,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
luster,Luster,dwc:MaterialAssertion,Constituent Part,"The reflection of light from the surface of a mineral, described by its quality and intensity",Metallic | Glassy | Waxy,Recommended best practice is to use a controlled vocabulary,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
inclusions,Inclusions,dwc:MaterialAssertion,Constituent Part,Short description of any inclusions present within a mineral that includes the phase and physical characteristics,Star-shaped rutile needles in quartz | Needles of tourmaline in quartz (blue quarz) | Fluid inclusions (liquid bubble and single crystal) in quartz,,,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,"Inclusions are defined as small foreign bodies (solid, liquid, or gas) within the physical bounds of a material commonly trapped during formation",,geoext,http://rs.tdwg.org/geoext/terms/,,
luminescence,Luminescence Description,dwc:MaterialAssertion,Constituent Part,The type and nature of light emitted from the mineral upon receiving energy from an external source.,Green fluorescence | Pink under short wave UV light,"Includes all types of luminescence including fluorescence (all wavelengths) and phosphorescence. Recommended best practice is to use nomenclature in part based on the source of energy, or the trigger for the luminescence.",,http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,,geoext,http://rs.tdwg.org/geoext/terms/,,
alterationDescription,Alteration Description,dwc:MaterialAssertion,Constituent Part,A description of any observed changes in the composition of a mineral brought about by physical or chemical processes related to changes in the physical or chemical environment. ,Dolomitization | Fenitization | Rodingitization,,"http://linked.data.gov.au/def/geological-observation-type/alteration, http://www.opengis.net/gsml/4.1/GeoSciML-Extension",http://www.w3.org/1999/02/22-rdf-syntax-ns#Property,string,FALSE,,Definition adopted from the concepts under term sources,geoext,http://rs.tdwg.org/geoext/terms/,,
